Date,K,BRO,LIN,DTE,CINF,LHX,RTX,CPAY,BKNG,IDXX,A,FSLR,MA,CAH,PNW,RL,XYL,AMP,MSFT,SBAC,WMB,WTW,DOC,HSY,BG,UHS,VICI,ROP,CB,NWSA,LYB,HIG,V,EQIX,ABT,NEM,KEYS,BMY,GEN,BIIB,NVDA,CNC,WELL,EXR,APH,BXP,MMM,ABNB,MRK,AMZN
2021-01-04,49.6917839050293,45.039794921875,243.97862243652344,88.3794174194336,75.94373321533203,165.1912841796875,61.83787155151367,265.92999267578125,2140.67578125,491.7699890136719,115.33772277832031,101.23999786376953,342.5911560058594,47.32396697998047,65.2746810913086,92.39088439941406,94.88343048095703,175.97622680664062,210.00201416015625,260.91180419921875,16.11050796508789,192.33999633789062,23.26044464111328,137.18719482421875,58.840606689453125,132.15963745117188,19.837316513061523,408.9861755371094,139.99200439453125,17.424280166625977,68.53365325927734,44.08131408691406,211.14138793945312,640.0880737304688,100.5800552368164,54.51887893676758,131.17999267578125,52.307861328125,18.960256576538086,242.9499969482422,13.079100608825684,62.09000015258789,54.60674285888672,94.24057006835938,30.837974548339844,72.87257385253906,121.1811752319336,139.14999389648438,67.80484008789062,159.3314971923828
2021-01-05,49.97480010986328,45.010643005371094,247.80596923828125,88.52005767822266,75.22471618652344,166.93988037109375,62.73250198364258,267.0,2164.406005859375,497.260009765625,116.28070831298828,92.16000366210938,338.6241149902344,47.493839263916016,64.15225982666016,94.8253173828125,94.76923370361328,174.9471435546875,210.20460510253906,258.0246276855469,16.599430084228516,190.7348175048828,23.421472549438477,137.0326690673828,60.35395431518555,132.96075439453125,20.094844818115234,408.62548828125,140.10421752929688,17.539417266845703,70.87464904785156,43.78919982910156,207.9901580810547,639.1453247070312,101.82453155517578,54.76060485839844,133.83999633789062,52.452728271484375,19.14282989501953,246.38999938964844,13.369585990905762,61.06999969482422,54.92587661743164,93.03572082519531,31.370662689208984,72.28681182861328,120.97673797607422,148.3000030517578,67.92210388183594,160.92550659179688
2021-01-06,49.58665084838867,45.89491271972656,255.94142150878906,90.10420989990234,78.76577758789062,167.32435607910156,63.509647369384766,272.2300109863281,2225.478759765625,483.6000061035156,119.46941375732422,99.69000244140625,338.7507629394531,49.22835922241211,66.42192077636719,99.7854232788086,98.76671600341797,184.9850311279297,204.75413513183594,250.50868225097656,17.232627868652344,192.33999633789062,23.51003646850586,137.5145263671875,62.8343620300293,138.4413299560547,20.14312744140625,412.7392578125,146.7705078125,18.470123291015625,74.27484130859375,46.427330017089844,206.15762329101562,618.276123046875,101.61251068115234,56.32322692871094,136.11000061035156,52.58055877685547,19.09718894958496,247.75,12.58140754699707,67.66000366210938,57.24842834472656,92.8905029296875,32.150482177734375,73.35400390625,122.81698608398438,142.77000427246094,68.99412536621094,156.91900634765625
2021-01-07,49.238929748535156,46.526546478271484,255.20606994628906,87.91304016113281,78.8017349243164,165.9328155517578,63.05782699584961,276.05999755859375,2215.626220703125,495.19000244140625,122.64840698242188,105.5,341.4346618652344,50.345970153808594,64.32557678222656,102.28372955322266,103.2496109008789,187.2208709716797,210.580810546875,251.08604431152344,17.264694213867188,193.80355834960938,22.88202667236328,137.43267822265625,62.18067932128906,139.17401123046875,20.03850746154785,420.29736328125,145.7233428955078,17.980783462524414,74.8121337890625,46.007408142089844,207.31149291992188,627.5276489257812,102.59884643554688,56.23689270019531,141.0,53.14302062988281,19.279760360717773,250.44000244140625,13.30899715423584,69.75,56.113739013671875,93.1126480102539,32.61119079589844,72.41520690917969,119.66527557373047,151.27000427246094,70.36763763427734,158.10800170898438
2021-01-08,48.68096160888672,46.662593841552734,254.90447998046875,87.49110412597656,78.89160919189453,165.42930603027344,63.13011169433594,275.8399963378906,2256.865234375,513.2000122070312,123.5233383178711,104.0999984741211,345.3285827636719,49.98833465576172,64.18525695800781,99.82191467285156,102.2026596069336,188.5492706298828,211.86387634277344,253.51882934570312,17.072324752807617,192.28334045410156,23.018898010253906,138.21453857421875,62.86122131347656,137.88449096679688,20.658172607421875,420.804931640625,145.29324340820312,17.875240325927734,74.25950622558594,45.5418701171875,208.90159606933594,639.9955444335938,102.88461303710938,54.20808792114258,146.8000030517578,53.253807067871094,19.20673179626465,252.5399932861328,13.241920471191406,68.20999908447266,55.56412887573242,95.74444580078125,32.47921371459961,72.24671173095703,117.47956848144531,149.77000427246094,69.53849792480469,159.13499450683594
2021-01-11,48.00977325439453,45.65199279785156,252.1989288330078,87.33564758300781,79.69149017333984,167.9835205078125,63.075904846191406,270.3699951171875,2197.2470703125,506.54998779296875,124.5830078125,103.76000213623047,339.8146667480469,49.83634948730469,63.29393005371094,100.83396911621094,100.90823364257812,188.5773468017578,209.8090362548828,246.4571533203125,17.240644454956055,188.11927795410156,22.92228126525879,136.4690399169922,62.43141555786133,132.00335693359375,20.392602920532227,428.0574951171875,144.10586547851562,17.904022216796875,74.43603515625,45.870487213134766,206.41940307617188,630.6884765625,102.1748046875,53.48289489746094,150.14999389648438,55.36725616455078,19.197599411010742,267.5199890136719,13.585765838623047,68.68000030517578,54.23442077636719,95.14630126953125,32.555992126464844,71.88562774658203,116.47833251953125,148.1300048828125,71.18839263916016,155.7104949951172
2021-01-12,47.35477066040039,45.52566909790039,251.34107971191406,88.28318786621094,83.10670471191406,169.3476104736328,64.63018798828125,273.25,2172.5869140625,496.7300109863281,123.43587493896484,104.31999969482422,334.66180419921875,50.059871673583984,63.071083068847656,104.40817260742188,100.7273941040039,191.35577392578125,207.33946228027344,247.2617645263672,17.978038787841797,188.7991485595703,23.035005569458008,135.80535888671875,62.4045524597168,134.39686584472656,20.304080963134766,419.7214050292969,146.424560546875,17.654558181762695,76.14765167236328,47.34016799926758,202.5118865966797,625.2726440429688,100.33116912841797,53.94908905029297,146.82000732421875,55.7592658996582,19.480588912963867,267.3900146484375,13.449373245239258,68.13999938964844,54.15463638305664,95.61627960205078,32.37843704223633,73.38609313964844,117.40199279785156,160.8000030517578,69.5887451171875,156.04150390625
2021-01-13,47.823787689208984,44.97176742553711,252.38746643066406,90.18563842773438,82.5135269165039,170.94972229003906,63.708473205566406,275.7300109863281,2158.817138671875,497.5799865722656,123.44559478759766,104.18000030517578,337.9897155761719,49.53235626220703,64.31733703613281,102.97665405273438,100.13729858398438,189.9712371826172,208.6996612548828,251.24697875976562,17.825754165649414,192.8782196044922,23.703266143798828,136.29627990722656,63.06719207763672,132.55044555664062,20.336265563964844,403.2835998535156,146.90139770507812,17.539417266845703,74.558837890625,47.37668991088867,202.9870147705078,637.8328247070312,103.38239288330078,53.58648681640625,146.61000061035156,55.162723541259766,19.051544189453125,266.6700134277344,13.496251106262207,66.51000213623047,56.56584930419922,95.58209228515625,32.263267517089844,73.89161682128906,117.23982238769531,169.99000549316406,68.96061706542969,158.29449462890625
2021-01-14,47.751014709472656,44.456764221191406,248.57899475097656,90.08941650390625,84.0234146118164,174.64828491210938,64.10608673095703,267.67999267578125,2158.985595703125,488.8999938964844,122.52201843261719,106.04000091552734,319.0567932128906,49.52342224121094,63.59104537963867,101.6363525390625,100.44185638427734,193.60098266601562,205.49696350097656,250.01634216308594,18.186437606811523,194.03964233398438,24.033374786376953,134.02345275878906,64.69692993164062,130.50865173339844,20.376508712768555,397.68072509765625,145.6859588623047,17.93280792236328,75.88668060302734,47.805721282958984,195.72467041015625,637.4169311523438,101.84598541259766,54.674278259277344,147.02999877929688,56.26205825805664,18.567724227905273,280.2900085449219,13.165621757507324,65.02999877929688,56.344234466552734,94.2320327758789,32.11449432373047,75.86547088623047,117.33148956298828,180.5,68.81824493408203,156.37350463867188
2021-01-15,47.734832763671875,44.9912109375,243.2998809814453,91.43667602539062,84.2121353149414,172.64337158203125,62.533687591552734,265.2300109863281,2096.31103515625,489.4599914550781,122.69701385498047,96.58000183105469,315.4752197265625,49.568115234375,64.82903289794922,100.35986328125,98.50973510742188,194.8451690673828,205.13998413085938,254.73045349121094,18.034149169921875,195.1254425048828,24.12193489074707,134.96896362304688,63.273162841796875,129.42425537109375,20.247743606567383,401.7901306152344,145.09690856933594,17.942405700683594,72.84722900390625,47.16672134399414,195.46290588378906,654.1364135742188,103.01217651367188,53.40518569946289,146.2899932861328,56.7052001953125,18.66813850402832,275.8399963378906,12.825766563415527,63.9900016784668,56.95589828491211,95.85552978515625,31.61060333251953,76.34688568115234,116.72511291503906,169.27000427246094,69.83161926269531,155.21249389648438
